Empresa:,,,,,,,EGERS SERVICOS DE PROCESSAMENTO DE DADOS E INFORMATICA LTDA,,,,,,,,,,,,,,,,,Folha:,,,,0001,
C.N.P.J.:,,,,,,,20.547.530/0001-61,,,,,,,,,,,,,,,,,,,,,,
Período:,,,,,,,01/01/2025 - 30/06/2025,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAZÃO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,,,,,Histórico,,,,,,,,,,Cta.C.Part.,,Débito,,Crédito,,Saldo,,,,,,Saldo-Exercício,,
Conta:,,5,,,,,-,,1.1.1.01.0001,,,,CAIXA,,,,,,,,,,,,,,,,
,,,,,SALDO ANTERIOR,,,,,,,,,,,,,,,,,,,,,,0.00,,
01/01/2025,,,,,AJUSTE SALDO ,,,,,,,,,,517,,"10,005.70",,,,"10,005.70d",,,,,,"10,005.70d",,
01/01/2025,,,,,ESTORNO CLIENTES,,,,,,,,,,504,,,,607.15,,"9,398.55d",,,,,,"9,398.55d",,
01/01/2025,,,,,AJUSTE SALDO ,,,,,,,,,,610,,,,430.00,,"8,968.55d",,,,,,"8,968.55d",,
03/01/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,"2,217.38",,,,"11,185.93d",,,,,,"11,185.93d",,
03/01/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,"3,877.53",,,,"15,063.46d",,,,,,"15,063.46d",,
03/01/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,"3,422.82",,,,"18,486.28d",,,,,,"18,486.28d",,
03/01/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,"1,569.29",,,,"20,055.57d",,,,,,"20,055.57d",,
03/01/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,"4,830.90",,,,"24,886.47d",,,,,,"24,886.47d",,
03/01/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,"3,246.87",,,,"28,133.34d",,,,,,"28,133.34d",,
03/01/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,"1,841.18",,,,"29,974.52d",,,,,,"29,974.52d",,
03/01/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,850.00,,,,"30,824.52d",,,,,,"30,824.52d",,
03/01/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,"3,178.28",,,,"34,002.80d",,,,,,"34,002.80d",,
06/01/2025,,,,,TRANSFERENCIA SAQUE ,,,,,,,,,,5074,,626.02,,,,"34,628.82d",,,,,,"34,628.82d",,
06/01/2025,,,,,PAGAMENTO DE PRÓ-LABORE MÊS 12/2024  ,,,,,,,,,,188,,,,"2,513.36",,"32,115.46d",,,,,,"32,115.46d",,
06/01/2025,,,,,PAGAMENTO DE FOLHA MÊS 12/2024  ,,,,,,,,,,187,,,,"24,184.25",,"7,931.21d",,,,,,"7,931.21d",,
06/01/2025,,,,,PAGAMENTO ESTAGIÁRIOS MÊS 12/2024  ,,,,,,,,,,584,,,,850.00,,"7,081.21d",,,,,,"7,081.21d",,
