descricao,contacontabil,desc_contacontabil
recebimento 27 bonifiq desenvolvimento e licenciamento ltda 11 valor 15000.00 d,672,banco c6
pagamento 2921 colinear contabilidade e financas ltda 11 valor 293.83 c,672,banco c6
pagamento prolabore mes 122024 valor 1256.68 c,672,banco c6
distribuicao lucros a priscila aparecida rangel valor 12400.00 c,672,banco c6
pagamento inss mes 122024 valor 155.32 c,672,banco c6
pagamento simples 122024 valor 900.00 c,672,banco c6
recebimento 28 bonifiq desenvolvimento e licenciamento ltda 11 valor 15000.00 d,672,banco c6
pagamento 3221 colinear contabilidade e financas ltda 11 valor 293.83 c,672,banco c6
pagamento prolabore mes 012025 valor 1256.68 c,672,banco c6
distribuicao lucros a priscila aparecida rangel valor 12200.00 c,672,banco c6
pagamento prolabore mes 012025 valor 94.34 c,672,banco c6
pagamento inss mes 012025 valor 166.98 c,672,banco c6
pagamento simples 012025 valor 900.00 c,672,banco c6
recebimento 29 bonifiq desenvolvimento e licenciamento ltda 11 valor 15000.00 d,672,banco c6
pagamento 3529 colinear contabilidade e financas ltda 11 valor 293.83 c,672,banco c6
pagamento prolabore mes 022025 valor 1351.02 c,672,banco c6
distribuicao lucros a priscila aparecida rangel valor 2970.00 c,672,banco c6
distribuicao lucros a priscila aparecida rangel valor 9000.00 c,672,banco c6
pagamento simples 022025 valor 900.00 c,672,banco c6
pagamento inss mes 022025 valor 166.98 c,672,banco c6
distribuicao lucros a priscila aparecida rangel valor 350.00 c,672,banco c6
recebimento 30 bonifiq desenvolvimento e licenciamento ltda 11 valor 15000.00 d,672,banco c6
pagamento 3859 colinear contabilidade e financas ltda 11 valor 293.83 c,672,banco c6
distribuicao lucros a priscila aparecida rangel valor 12000.00 c,672,banco c6
pagamento prolabore mes 032025 valor 1351.02 c,672,banco c6
recebimento bonifiq desenvolvimento valor 484.33 d,672,banco c6
pagamento alvara valor 212.47 c,672,banco c6
distribuicao lucros a priscila aparecida rangel valor 500.00 c,672,banco c6
pagamento inss mes 032025 valor 166.98 c,672,banco c6
pagamento simples 032025 valor 900.00 c,672,banco c6
distribuicao lucros a priscila aparecida rangel valor 100.00 c,672,banco c6
recebimento bonifiq desenvolvimento valor 1914.20 d,672,banco c6
distribuicao lucros a priscila aparecida rangel valor 1940.00 c,672,banco c6
recebimento 31 bonifiq desenvolvimento e licenciamento ltda 11 valor 15000.00 d,672,banco c6
pagamento 4219 colinear contabilidade e financas ltda 11 valor 293.83 c,672,banco c6
pagamento prolabore mes 042025 valor 1351.02 c,672,banco c6
pagamento inss mes 042025 valor 166.98 c,672,banco c6
pagamento simples 042025 valor 900.00 c,672,banco c6
distribuicao lucros a priscila aparecida rangel valor 280.00 c,672,banco c6
recebimento bonifiq desenvolvimento valor 2530.87 d,672,banco c6
distribuicao lucros a priscila aparecida rangel valor 2540.00 c,672,banco c6
recebimento 32 bonifiq desenvolvimento e licenciamento ltda 11 valor 15000.00 d,672,banco c6
pagamento 4620 colinear contabilidade e financas ltda 11 valor 293.83 c,672,banco c6
pagamento prolabore mes 052025 valor 1351.02 c,672,banco c6
distribuicao lucros a priscila aparecida rangel valor 12280.00 c,672,banco c6
pagamento simples 052025 valor 900.00 c,672,banco c6
pagamento inss mes 052025 valor 166.98 c,672,banco c6
recebimento 33 bonifiq desenvolvimento e licenciamento ltda 11 valor 15000.00 d,672,banco c6
pagamento 5004 colinear contabilidade e financas ltda 11 valor 293.83 c,672,banco c6
pagamento prolabore mes 062025 valor 1351.02 c,672,banco c6
distribuicao lucros a priscila aparecida rangel valor 12300.00 c,672,banco c6
pagamento simples 062025 valor 900.00 c,672,banco c6
recebimento bonifiq desenvolvimento valor 712.81 d,672,banco c6
pagamento inss mes 062025 valor 166.98 c,672,banco c6
distribuicao lucros a priscila aparecida rangel valor 700.00 c,672,banco c6
recebimento 27 bonifiq desenvolvimento e licenciamento ltda 11 valor 15000.00 c,504,clientes
prestacao servicos conforme nf 28 bonifiq desenvolvimento e licenciamento ltda valor 15000.00 d,504,clientes
recebimento 28 bonifiq desenvolvimento e licenciamento ltda 11 valor 15000.00 c,504,clientes
prestacao servicos conforme nf 29 bonifiq desenvolvimento e licenciamento ltda valor 15000.00 d,504,clientes
recebimento 29 bonifiq desenvolvimento e licenciamento ltda 11 valor 15000.00 c,504,clientes
prestacao servicos conforme nf 30 bonifiq desenvolvimento e licenciamento ltda valor 15000.00 d,504,clientes
recebimento 30 bonifiq desenvolvimento e licenciamento ltda 11 valor 15000.00 c,504,clientes
prestacao servicos conforme nf 31 bonifiq desenvolvimento e licenciamento ltda valor 15000.00 d,504,clientes
recebimento 31 bonifiq desenvolvimento e licenciamento ltda 11 valor 15000.00 c,504,clientes
prestacao servicos conforme nf 32 bonifiq desenvolvimento e licenciamento ltda valor 15000.00 d,504,clientes
recebimento 32 bonifiq desenvolvimento e licenciamento ltda 11 valor 15000.00 c,504,clientes
prestacao servicos conforme nf 33 bonifiq desenvolvimento e licenciamento ltda valor 15000.00 d,504,clientes
recebimento 33 bonifiq desenvolvimento e licenciamento ltda 11 valor 15000.00 c,504,clientes
prestacao servicos conforme nf 35 bonifiq desenvolvimento e licenciamento ltda valor 16000.00 d,504,clientes
prestacao servicos conforme nf 36 bonifiq desenvolvimento e licenciamento ltda valor 16000.00 d,504,clientes
prestacao servicos conforme nf 37 bonifiq desenvolvimento e licenciamento ltda valor 16000.00 d,504,clientes
prestacao servicos conforme nf 38 bonifiq desenvolvimento e licenciamento ltda valor 16000.00 d,504,clientes
prestacao servicos conforme nf 39 bonifiq desenvolvimento e licenciamento ltda valor 16000.00 d,504,clientes
pagamento 2921 colinear contabilidade e financas ltda 11 valor 293.83 d,5002,colinear contabilidade e financas ltda
servico tomado conforme nf 3221 colinear contabilidade e financas ltda valor 293.83 c,5002,colinear contabilidade e financas ltda
pagamento 3221 colinear contabilidade e financas ltda 11 valor 293.83 d,5002,colinear contabilidade e financas ltda
servico tomado conforme nf 3529 colinear contabilidade e financas ltda valor 293.83 c,5002,colinear contabilidade e financas ltda
pagamento 3529 colinear contabilidade e financas ltda 11 valor 293.83 d,5002,colinear contabilidade e financas ltda
servico tomado conforme nf 3859 colinear contabilidade e financas ltda valor 293.83 c,5002,colinear contabilidade e financas ltda
pagamento 3859 colinear contabilidade e financas ltda 11 valor 293.83 d,5002,colinear contabilidade e financas ltda
servico tomado conforme nf 4219 colinear contabilidade e financas ltda valor 293.83 c,5002,colinear contabilidade e financas ltda
pagamento 4219 colinear contabilidade e financas ltda 11 valor 293.83 d,5002,colinear contabilidade e financas ltda
servico tomado conforme nf 4620 colinear contabilidade e financas ltda valor 293.83 c,5002,colinear contabilidade e financas ltda
pagamento 4620 colinear contabilidade e financas ltda 11 valor 293.83 d,5002,colinear contabilidade e financas ltda
servico tomado conforme nf 5004 colinear contabilidade e financas ltda valor 293.83 c,5002,colinear contabilidade e financas ltda
pagamento 5004 colinear contabilidade e financas ltda 11 valor 293.83 d,5002,colinear contabilidade e financas ltda
servico tomado conforme nf 5441 colinear contabilidade e financas ltda valor 293.83 c,5002,colinear contabilidade e financas ltda
pagamento simples 122024 valor 900.00 d,479,simples nacional a recolher
valor a recolher simples 012025 valor 900.00 c,479,simples nacional a recolher
pagamento simples 012025 valor 900.00 d,479,simples nacional a recolher
valor a recolher simples 022025 valor 900.00 c,479,simples nacional a recolher
pagamento simples 022025 valor 900.00 d,479,simples nacional a recolher
valor a recolher simples 032025 valor 900.00 c,479,simples nacional a recolher
pagamento simples 032025 valor 900.00 d,479,simples nacional a recolher
valor a recolher simples 042025 valor 900.00 c,479,simples nacional a recolher
pagamento simples 042025 valor 900.00 d,479,simples nacional a recolher
valor a recolher simples 052025 valor 900.00 c,479,simples nacional a recolher
pagamento simples 052025 valor 900.00 d,479,simples nacional a recolher
valor a recolher simples 062025 valor 900.00 c,479,simples nacional a recolher
pagamento simples 062025 valor 900.00 d,479,simples nacional a recolher
valor a recolher simples 072025 valor 960.00 c,479,simples nacional a recolher
valor a recolher simples 082025 valor 964.59 c,479,simples nacional a recolher
valor a recolher simples 092025 valor 969.15 c,479,simples nacional a recolher
valor a recolher simples 102025 valor 973.65 c,479,simples nacional a recolher
valor a recolher simples 112025 valor 978.08 c,479,simples nacional a recolher
pagamento prolabore mes 122024 valor 1256.68 d,188,prolabore a pagar
referente a prolabore mes 012025 valor 1518.00 c,188,prolabore a pagar
inss a recolher mes 012025 valor 166.98 d,188,prolabore a pagar
pagamento prolabore mes 012025 valor 1256.68 d,188,prolabore a pagar
pagamento prolabore mes 012025 valor 94.34 d,188,prolabore a pagar
referente a prolabore mes 022025 valor 1518.00 c,188,prolabore a pagar
inss a recolher mes 022025 valor 166.98 d,188,prolabore a pagar
pagamento prolabore mes 022025 valor 1351.02 d,188,prolabore a pagar
referente a prolabore mes 032025 valor 1518.00 c,188,prolabore a pagar
inss a recolher mes 032025 valor 166.98 d,188,prolabore a pagar
pagamento prolabore mes 032025 valor 1351.02 d,188,prolabore a pagar
referente a prolabore mes 042025 valor 1518.00 c,188,prolabore a pagar
inss a recolher mes 042025 valor 166.98 d,188,prolabore a pagar
pagamento prolabore mes 042025 valor 1351.02 d,188,prolabore a pagar
referente a prolabore mes 052025 valor 1518.00 c,188,prolabore a pagar
inss a recolher mes 052025 valor 166.98 d,188,prolabore a pagar
pagamento prolabore mes 052025 valor 1351.02 d,188,prolabore a pagar
referente a prolabore mes 062025 valor 1518.00 c,188,prolabore a pagar
inss a recolher mes 062025 valor 166.98 d,188,prolabore a pagar
pagamento prolabore mes 062025 valor 1351.02 d,188,prolabore a pagar
referente a prolabore mes 072025 valor 1518.00 c,188,prolabore a pagar
inss a recolher mes 072025 valor 166.98 d,188,prolabore a pagar
pagamento inss mes 122024 valor 155.32 d,191,inss a recolher
inss a recolher mes 012025 valor 166.98 c,191,inss a recolher
pagamento inss mes 012025 valor 166.98 d,191,inss a recolher
inss a recolher mes 022025 valor 166.98 c,191,inss a recolher
pagamento inss mes 022025 valor 166.98 d,191,inss a recolher
inss a recolher mes 032025 valor 166.98 c,191,inss a recolher
pagamento inss mes 032025 valor 166.98 d,191,inss a recolher
inss a recolher mes 042025 valor 166.98 c,191,inss a recolher
pagamento inss mes 042025 valor 166.98 d,191,inss a recolher
inss a recolher mes 052025 valor 166.98 c,191,inss a recolher
pagamento inss mes 052025 valor 166.98 d,191,inss a recolher
inss a recolher mes 062025 valor 166.98 c,191,inss a recolher
pagamento inss mes 062025 valor 166.98 d,191,inss a recolher
inss a recolher mes 072025 valor 166.98 c,191,inss a recolher
recebimento bonifiq desenvolvimento valor 484.33 c,554,adiantamento clientes
recebimento bonifiq desenvolvimento valor 1914.20 c,554,adiantamento clientes
recebimento bonifiq desenvolvimento valor 2530.87 c,554,adiantamento clientes
recebimento bonifiq desenvolvimento valor 712.81 c,554,adiantamento clientes
servico tomado conforme nf 5882 colinear contabilidade e financas ltda valor 293.83 c,610,contas a pagar
servico tomado conforme nf 6434 colinear contabilidade e financas ltda valor 293.83 c,610,contas a pagar
servico tomado conforme nf 6914 colinear contabilidade e financas ltda valor 293.83 c,610,contas a pagar
servico tomado conforme nf 7411 colinear contabilidade e financas ltda valor 293.83 c,610,contas a pagar
transferencia saldo valor 1999.53 c,266,lucros acumulados
transferencia saldo valor 1999.53 d,518,lucro periodo
distribuicao lucros a priscila aparecida rangel valor 12400.00 d,658,reserva distribuicao lucros
distribuicao lucros a priscila aparecida rangel valor 12200.00 d,658,reserva distribuicao lucros
distribuicao lucros a priscila aparecida rangel valor 2970.00 d,658,reserva distribuicao lucros
distribuicao lucros a priscila aparecida rangel valor 9000.00 d,658,reserva distribuicao lucros
distribuicao lucros a priscila aparecida rangel valor 350.00 d,658,reserva distribuicao lucros
distribuicao lucros a priscila aparecida rangel valor 12000.00 d,658,reserva distribuicao lucros
distribuicao lucros a priscila aparecida rangel valor 500.00 d,658,reserva distribuicao lucros
distribuicao lucros a priscila aparecida rangel valor 100.00 d,658,reserva distribuicao lucros
distribuicao lucros a priscila aparecida rangel valor 1940.00 d,658,reserva distribuicao lucros
distribuicao lucros a priscila aparecida rangel valor 280.00 d,658,reserva distribuicao lucros
distribuicao lucros a priscila aparecida rangel valor 2540.00 d,658,reserva distribuicao lucros
distribuicao lucros a priscila aparecida rangel valor 12280.00 d,658,reserva distribuicao lucros
distribuicao lucros a priscila aparecida rangel valor 12300.00 d,658,reserva distribuicao lucros
distribuicao lucros a priscila aparecida rangel valor 700.00 d,658,reserva distribuicao lucros
servico tomado conforme nf 5882 colinear contabilidade e financas ltda valor 293.83 d,325,servicos prestados por terceiros
servico tomado conforme nf 6434 colinear contabilidade e financas ltda valor 293.83 d,325,servicos prestados por terceiros
servico tomado conforme nf 6914 colinear contabilidade e financas ltda valor 293.83 d,325,servicos prestados por terceiros
servico tomado conforme nf 7411 colinear contabilidade e financas ltda valor 293.83 d,325,servicos prestados por terceiros
referente a prolabore mes 012025 valor 1518.00 d,332,prolabore
referente a prolabore mes 022025 valor 1518.00 d,332,prolabore
referente a prolabore mes 032025 valor 1518.00 d,332,prolabore
referente a prolabore mes 042025 valor 1518.00 d,332,prolabore
referente a prolabore mes 052025 valor 1518.00 d,332,prolabore
referente a prolabore mes 062025 valor 1518.00 d,332,prolabore
referente a prolabore mes 072025 valor 1518.00 d,332,prolabore
pagamento alvara valor 212.47 d,621,alvaras
servico tomado conforme nf 3221 colinear contabilidade e financas ltda valor 293.83 d,361,assessoria contabil
servico tomado conforme nf 3529 colinear contabilidade e financas ltda valor 293.83 d,361,assessoria contabil
servico tomado conforme nf 3859 colinear contabilidade e financas ltda valor 293.83 d,361,assessoria contabil
servico tomado conforme nf 4219 colinear contabilidade e financas ltda valor 293.83 d,361,assessoria contabil
servico tomado conforme nf 4620 colinear contabilidade e financas ltda valor 293.83 d,361,assessoria contabil
servico tomado conforme nf 5004 colinear contabilidade e financas ltda valor 293.83 d,361,assessoria contabil
servico tomado conforme nf 5441 colinear contabilidade e financas ltda valor 293.83 d,361,assessoria contabil
prestacao servicos conforme nf 28 bonifiq desenvolvimento e licenciamento ltda valor 15000.00 c,411,servicos prestados
prestacao servicos conforme nf 29 bonifiq desenvolvimento e licenciamento ltda valor 15000.00 c,411,servicos prestados
prestacao servicos conforme nf 30 bonifiq desenvolvimento e licenciamento ltda valor 15000.00 c,411,servicos prestados
prestacao servicos conforme nf 31 bonifiq desenvolvimento e licenciamento ltda valor 15000.00 c,411,servicos prestados
prestacao servicos conforme nf 32 bonifiq desenvolvimento e licenciamento ltda valor 15000.00 c,411,servicos prestados
prestacao servicos conforme nf 33 bonifiq desenvolvimento e licenciamento ltda valor 15000.00 c,411,servicos prestados
prestacao servicos conforme nf 35 bonifiq desenvolvimento e licenciamento ltda valor 16000.00 c,411,servicos prestados
prestacao servicos conforme nf 36 bonifiq desenvolvimento e licenciamento ltda valor 16000.00 c,411,servicos prestados
prestacao servicos conforme nf 37 bonifiq desenvolvimento e licenciamento ltda valor 16000.00 c,411,servicos prestados
prestacao servicos conforme nf 38 bonifiq desenvolvimento e licenciamento ltda valor 16000.00 c,411,servicos prestados
prestacao servicos conforme nf 39 bonifiq desenvolvimento e licenciamento ltda valor 16000.00 c,411,servicos prestados
valor a recolher simples 012025 valor 900.00 d,480,simples nacional
valor a recolher simples 022025 valor 900.00 d,480,simples nacional
valor a recolher simples 032025 valor 900.00 d,480,simples nacional
valor a recolher simples 042025 valor 900.00 d,480,simples nacional
valor a recolher simples 052025 valor 900.00 d,480,simples nacional
valor a recolher simples 062025 valor 900.00 d,480,simples nacional
valor a recolher simples 072025 valor 960.00 d,480,simples nacional
valor a recolher simples 082025 valor 964.59 d,480,simples nacional
valor a recolher simples 092025 valor 969.15 d,480,simples nacional
valor a recolher simples 102025 valor 973.65 d,480,simples nacional
valor a recolher simples 112025 valor 978.08 d,480,simples nacional
pagamento simples 122024 valor 596.03 c,5,caixa
pagamento inss mes 122024 valor 155.32 c,5,caixa
pagamento 2983 colinear contabilidade e financas ltda 11 valor 297.00 c,5,caixa
pagamento prolabore mes 012025 valor 94.34 c,5,caixa
pagamento simples 012025 valor 507.60 c,5,caixa
pagamento 3282 colinear contabilidade e financas ltda 11 valor 297.00 c,5,caixa
pagamento 3924 colinear contabilidade e financas ltda 11 valor 297.00 c,5,caixa
recebimento 439 new plan construtora ltda 11 valor 1180.00 d,675,banco cora
recebimento 422 terraza santa helena spe ltda 11 valor 1140.00 d,675,banco cora
recebimento 440 agencia marketing aurea ltda 11 valor 2600.00 d,675,banco cora
recebimento 419 lince participacoes e empreendimentos ltda 11 valor 480.00 d,675,banco cora
recebimento 437 aestra gestao e negocios ltda 11 valor 340.00 d,675,banco cora
recebimento 438 nion acessoria 11 valor 340.00 d,675,banco cora
recebimento 420 associacao scangels 11 valor 580.00 d,675,banco cora
recebimento 421 jarise lange floriano ltda 11 valor 650.00 d,675,banco cora
recebimento 436 colinear contabilidade e financas ltda 11 valor 390.00 d,675,banco cora
recebimento 435 terraza empreendimentos ltda 11 valor 760.00 d,675,banco cora
pagamento prolabore mes 122024 valor 1256.68 c,675,banco cora
distribuicao antecipada lucros a socia lara cristina kreusch valor 7000.00 c,675,banco cora
distribuicao antecipada lucros a socia lara cristina kreusch valor 203.32 c,675,banco cora
recebimento 446 colinear contabilidade e financas ltda 11 valor 780.00 d,675,banco cora
recebimento 450 agencia marketing aurea ltda 11 valor 2600.00 d,675,banco cora
recebimento 434 terraza santa helena spe ltda 11 valor 1140.00 d,675,banco cora
recebimento 448 nion acessoria 11 valor 340.00 d,675,banco cora
recebimento 433 jarise lange floriano ltda 11 valor 650.00 d,675,banco cora
recebimento 449 new plan construtora ltda 11 valor 1180.00 d,675,banco cora
recebimento 423 terraza empreendimentos ltda 11 valor 760.00 d,675,banco cora
recebimento 431 lince participacoes e empreendimentos ltda 11 valor 480.00 d,675,banco cora
recebimento 442 associacao scangels 11 valor 580.00 d,675,banco cora
pagamento prolabore mes 012025 valor 1256.68 c,675,banco cora
distribuicao antecipada lucros a socia lara cristina kreusch valor 1000.00 c,675,banco cora
distribuicao antecipada lucros a socia lara cristina kreusch valor 6000.00 c,675,banco cora
pagamento inss mes 012025 valor 166.98 c,675,banco cora
distribuicao antecipada lucros a socia lara cristina kreusch valor 86.34 c,675,banco cora
recebimento 447 aestra gestao e negocios ltda 11 valor 340.00 d,675,banco cora
referente a juros 447 aestra gestao e negocios ltda 11 valor 7.25 d,675,banco cora
distribuicao antecipada lucros a socia lara cristina kreusch valor 47.25 c,675,banco cora
distribuicao antecipada lucros a socia lara cristina kreusch valor 300.00 c,675,banco cora
recebimento 441 lince participacoes e empreendimentos ltda 11 valor 480.00 d,675,banco cora
recebimento 460 nion acessoria 11 valor 340.00 d,675,banco cora
recebimento 443 jarise lange floriano ltda 11 valor 650.00 d,675,banco cora
recebimento 444 terraza santa helena spe ltda 11 valor 1140.00 d,675,banco cora
recebimento 454 associacao scangels 11 valor 580.00 d,675,banco cora
recebimento 445 terraza empreendimentos ltda 11 valor 760.00 d,675,banco cora
recebimento 462 new plan construtora ltda 11 valor 632.00 d,675,banco cora
recebimento 461 new plan construtora ltda 11 valor 1180.00 d,675,banco cora
recebimento 464 agencia marketing aurea ltda 11 valor 468.00 d,675,banco cora
recebimento 458 colinear contabilidade e financas ltda 11 valor 780.00 d,675,banco cora
recebimento 463 agencia marketing aurea ltda 11 valor 2600.00 d,675,banco cora
pagamento 3592 colinear contabilidade e financas ltda 11 valor 297.00 c,675,banco cora
pagamento prolabore mes 022025 valor 1351.02 c,675,banco cora
distribuicao antecipada lucros a socia lara cristina kreusch valor 2900.00 c,675,banco cora
distribuicao antecipada lucros a socia lara cristina kreusch valor 5000.00 c,675,banco cora
recebimento 459 aestra gestao e negocios ltda 11 valor 340.00 d,675,banco cora
referente a juros 459 aestra gestao e negocios ltda 11 valor 7.02 d,675,banco cora
recebimento 465 amma comercial ltda 11 valor 675.00 d,675,banco cora
referente a juros 465 amma comercial ltda 11 valor 14.39 d,675,banco cora
pagamento simples 022025 valor 553.80 c,675,banco cora
pagamento inss mes 022025 valor 166.98 c,675,banco cora
distribuicao antecipada lucros a socia lara cristina kreusch valor 377.61 c,675,banco cora
recebimento 451 plenum gestao empresarial ltda 11 valor 235.00 d,675,banco cora
referente a juros 451 plenum gestao empresarial ltda 11 valor 7.04 d,675,banco cora
recebimento 452 plenum gestao empresarial ltda 11 valor 145.00 d,675,banco cora
referente a juros 452 plenum gestao empresarial ltda 11 valor 4.34 d,675,banco cora
distribuicao antecipada lucros a socia lara cristina kreusch valor 391.38 c,675,banco cora
recebimento 467 il gestao financeira ltda 11 valor 450.00 d,675,banco cora
recebimento 466 clientes diversos 11 valor 889.00 d,675,banco cora
recebimento 476 new plan construtora ltda 11 valor 1180.00 d,675,banco cora
recebimento 469 associacao scangels 11 valor 580.00 d,675,banco cora
pagamento prolabore mes 032025 valor 1351.02 c,675,banco cora
distribuicao antecipada lucros a socia lara cristina kreusch valor 1700.00 c,675,banco cora
